yyyy	mm	tmax	tmin	rain
1996	4	14.3	5.5	25
1996	5	15.1	5.9	25.8
1996	6	22.8	11.3	12
1996	7	24.2	13.2	28.8
1996	8	23.1	13.4	45.8
1996	9	19.2	10.7	22
1996	10	16.6	8.9	35.4
1996	11	10.5	2.7	91
1996	12	6.2	1.4	13
1997	1	5.5	0.2	10.3
1997	2	10.8	4	55.1
1997	3	13.8	5.3	11.4
1997	4	15.6	5.4	9.8
1997	5	18.7	8.5	28.2
1997	6	20.2	12.2	78.6
1997	7	23.5	13.9	34.6
1997	8	25.8	16.6	70.5
1997	9	20.9	11.8	6.8
1997	10	15.9	7.5	44.9
1997	11	12.5	6.2	47.1
1997	12	9.5	4.2	47.4
1998	1	9.2	3.5	68.6
1998	2	11.6	3.5	6.6
1998	3	12.1	5.7	51.1
1998	4	12.7	5.7	82.6
1998	5	19.6	10.2	31.9
1998	6	19.9	12	89.6
1998	7	21.4	13	26.9
1998	8	23.5	12.7	16.6
1998	9	20.4	12.7	101.2
1998	10	14.7	8.6	103.8
1998	11	9.6	3.4	57
1998	12	9.7	3.8	49.2
1999	1	9.4	3.8	68.7
1999	2	8.8	2.8	21.1
1999	3	12.2	5	25.6
1999	4	14.9	6.3	35
1999	5	19.1	10.2	35.8
1999	6	20.3	11	98.2
1999	7	24.9	14.3	8.6
1999	8	22.8	14	124.8
1999	9	21.3	13.2	86.7
1999	10	15.6	7.9	49.2
1999	11	11.3	5.9	31.2
1999	12	8.7	2.4	77.2
2000	1	8.6	2.4	16.5
2000	2	10.4	3.8	62.2
2000	3	12.1	4.9	16
2000	4	12.9	5.4	99.6
2000	5	18	9.6	87.2
2000	6	21	12.8	19.2
2000	7	21	12.8	52.8
2000	8	23.2	14	32.3
2000	9	20.1	12.5	105.8
2000	10	14.7	8.5	155.4
2000	11	11	4.5	99.5
2000	12	9	4.6	73.9
2001	1	7.1	1.8	75.2
2001	2	9.2	2.8	69.6
2001	3	9.5	3.8	95.3
2001	4	12.8	5.4	66.5
2001	5	18.8	9.1	26
2001	6	20.8	11.3	39.1
2001	7	24.3	14.5	35.2
2001	8	23.5	14.5	79
2001	9	18.1	10.8	59.6
2001	10	17.6	11.3	108.2
2001	11	11.3	4.4	33.8
2001	12	7.3	1.4	17.8
2002	1	9.5	3.5	51
2002	2	11.3	4.8	64
2002	3	12.4	5.1	37.6
2002	4	15.7	6.1	38.4
2002	5	17.3	9.4	66.4
2002	6	20.1	11.6	74.2
2002	7	22.3	13.5	67.2
2002	8	23.3	14.7	36.3
2002	9	20.3	11.5	20
2002	10	15.3	8.4	61.6
2002	11	12.4	7	151
2002	12	9	5.2	119
2003	1	8	2.3	73.6
2003	2	8.4	1.8	20.8
2003	3	13.6	4.4	16.4
2003	4	15.7	6.3	30
2003	5	18.2	9	39.1
2003	6	23.3	13.3	47.6
2003	7	24.2	14.7	28.8
2003	8	26.4	15.7	10.4
2003	9	21.9	10.8	8.4
2003	10	14.5	6.4	35.2
2003	11	12.6	6.7	113.8
2003	12	8.8	3.2	51.4
2004	1	8.8	3.1	71.9
2004	2	8.7	3.8	26.2
2004	3	10.8	3.9	29.5
2004	4	14.9	6.3	68.8
2004	5	18.2	9.5	45
2004	6	22.1	12.6	40.4
2004	7	22.7	13.3	37.6
2004	8	23.8	15.1	107.8
2004	9	20.8	12.5	18.8
2004	10	15.3	9.1	96.6
2004	11	11.2	6.2	29.6
2004	12	8.8	2.9	46.4
2005	1	9.5	3.8	21.6
2005	2	7.3	2.5	19.7
2005	3	11.5	4.5	43.6
2005	4	14.6	6.2	30
2005	5	17.7	8.5	19.8
2005	6	22.8	12.9	32.6
2005	7	23.3	14.1	45.8
2005	8	23.2	13	42.4
2005	9	21.4	12.7	47.5
2005	10	17.8	11.3	73.4
2005	11	10.7	3.5	29.2
2005	12	8.2	1.9	44.4
2006	1	7.6	2.9	16.8
2006	2	7.2	1.7	41.2
2006	3	9.4	2.8	44.6
2006	4	14.1	6	33.4
2006	5	18	9.8	91.6
2006	6	23.7	12.9	11.8
2006	7	28.2	16.7	23.6
2006	8	22.2	13.5	68.8
2006	9	22.7	14.5	78.2
2006	10	17.8	11.2	64.4
2006	11	12.7	5.4	98
2006	12	9.7	4.5	63.6
2007	1	10.5	5.1	56
2007	2	9.9	3.9	92.9
2007	3	12.5	4.4	43.8
2007	4	18.9	7.7	3.6
2007	5	17.9	9.7	80
2007	6	21.2	12.6	63.8
2007	7	21.4	13.1	115.2
2007	8	21.5	12.9	41
2007	9	19.9	11.4	17.4
2007	10	15.4	8.5	37.8
2007	11	11.4	4.6	84.8
2007	12	8.9	3.1	44.6
2008	1	10.4	4.7	69
2008	2	11	2	15.4
2008	3	10.6	3.7	69.8
2008	4	13.7	5.2	63.4
2008	5	19.8	10.5	64.2
2008	6	20.8	11.9	45.6
2008	7	22.8	13.7	76.8
2008	8	21.5	14.2	64.4
2008	9	18.5	11.2	43
2008	10	15	6.8	45
2008	11	10.7	5.2	58.8
2008	12	7.3	1.7	41.2
2009	1	6.8	0.3	72.4
2009	2	7.8	2.1	69.6
2009	3	12.9	3.7	30
2009	4	16.1	7.2	28
2009	5	19.1	9.4	29.8
2009	6	22.4	12.2	34
2009	7	23	13.7	71.4
2009	8	23.9	14.1	39.6
2009	9	20.5	12	36
2009	10	16.3	9.3	39.4
2009	11	12.6	7.4	148
2009	12	7	1.3	84.6
2010	1	4.5	-0.3	51.8
2010	2	6.9	1.7	100.4
2010	3	11.1	3.7	39.8
2010	4	15.8	5.6	23.2
2010	5	17.3	7.7	20.6
2010	6	23.5	12.1	12.4
2010	7	25	15.1	18
2010	8	21.6	13.2	88.6
2010	9	19.4	11.2	38.2
2010	10	15.2	8.3	74.8
2010	11	9.1	4	32.2
2010	12	3.9	-1.5	21.4
2011	1	7.4	2.8	76.8
2011	2	10.2	4.8	42.8
2011	3	12.3	3.8	14.6
2011	4	19.7	8.6	2.4
2011	5	19.4	9.4	24.6
2011	6	20.7	11	84
2011	7	21.7	12.6	49.8
2011	8	21.8	13.4	68.8
2011	9	21.3	12.4	35
2011	10	18.1	10.1	18.4
2011	11	13.6	7.3	29
2011	12	9.9	3.8	63
2012	1	9.8	3.4	34.4
2012	2	8	1.3	16.8
2012	3	14.7	4.7	16.2
2012	4	13.3	4.9	98.4
2012	5	18.2	9.7	25.4
2012	6	19.4	11.6	110.8
2012	7	21.3	13.2	71.8
2012	8	23.5	14.3	36.4
2012	9	20	10.3	41.2
2012	10	14.2	8	88.4
2012	11	11	4.6	71.8
2012	12	9	2.6	95.8
2013	1	6.5	2	50.1
2013	2	6.7	1.2	32.8
2013	3	6.9	1.2	52.8
2013	4	13.5	4.7	34
2013	5	16.4	7.7	41.8
2013	6	20.3	11.2	11.6
