yyyy	mm	tmax	tmin	rain
1929	5	10.9	5.8	49.3
1929	6	12	7.4	96.8
1929	7	14.4	9	33.3
1929	8	14.3	9.4	121.7
1929	9	14.4	9.2	89.4
1929	10	10.2	5.3	112
1929	11	7.9	4.3	81.3
1929	12	6.5	3.8	142.5
1930	1	5.9	2.6	51.1
1930	2	5.3	1.1	31
1930	3	5.4	0.7	40.6
1930	4	8.2	4.4	53.8
1930	5	9.8	5.6	38.4
1930	6	14.1	8.5	81
1930	7	14.4	9.9	34.5
1930	8	14.9	10.7	141.5
1930	9	13.5	9.8	98.3
1930	10	10.4	7	92.5
1930	11	6.9	2.8	97.8
1930	12	7.2	3	51.8
1931	1	5.5	0.6	79.5
1931	2	5.2	0.2	73.8
1931	3	4.7	-0.5	29.7
1931	4	8.3	2.9	46.2
1931	5	10.6	6	124.6
1931	6	12	7.1	72.8
1931	7	14.2	10.1	74.5
1931	8	13.2	---	27.1
1931	9	12.8	7.7	23.8
1931	10	10.9	4.8	74.4
1931	11	9.7	6.1	67
1931	12	8.2	3.1	71.1
1932	1	8.2	2.6	86.5
1932	2	7.6	3	13.8
1932	3	6.6	1.9	52
1932	4	7.6	1.6	75.4
1932	5	10.1	5.5	35.5
1932	6	12.6	7.8	16.6
1932	7	15.5	9.9	76.3
1932	8	15.6	10.4	69
1932	9	13.5	7.4	97.1
1932	10	9.8	4.6	125.3
1932	11	8.4	3	74.3
1932	12	7.7	2.9	51.1
1933	1	5.7	0.8	44.6
1933	2	5.3	0.5	86.8
1933	3	8.5	3.4	47.4
1933	4	9.2	3.9	34.4
1933	5	10.3	5.7	18.4
1933	6	14.8	8.7	37.2
1933	7	17.3	11.5	56.2
1933	8	17	10.7	65.4
1933	9	14.6	8.3	29.8
1933	10	11.4	5.9	98.8
1933	11	8.8	4.2	74.7
1933	12	7.3	2.9	27.8
1934	1	7.2	2.5	46.7
1934	2	---	2.1	41.1
1934	3	7.1	0.8	53.3
1934	4	8	2.8	134.4
1934	5	11.9	4.6	44.6
1934	6	13.3	7.9	26.9
1934	7	16	10.5	58.4
1934	8	15.8	10.3	103.9
1934	9	14.8	8.9	58.5
1934	10	11.5	5	124.2
1934	11	8.6	2.6	51
1934	12	8.8	5.7	63.6
1935	1	7.4	3	90.7
1935	2	6.4	0.6	65.3
1935	3	8.5	3.2	48.9
1935	4	8.3	3	72.7
1935	5	9.9	4.8	14.1
1935	6	12.9	8	23.3
1935	7	16.3	9.3	66.2
1935	8	16	10.4	74.4
1935	9	13.8	8	104
1935	10	10.4	4.2	115.9
1935	11	8.8	4.2	115.9
1935	12	5.7	0.4	78.2
1936	1	5	0	103.1
1936	2	5.2	0.4	37.7
1936	3	7.1	2.5	34.9
1936	4	8.3	1.8	32.5
1936	5	10.2	5.8	49.7
1936	6	13.7	7.3	28.1
1936	7	15.4	10.5	121.2
1936	8	16.1	10.5	64.2
1936	9	13.8	9.3	69.6
1936	10	11.4	4.8	88
1936	11	8.9	2.9	67.2
1936	12	7.3	1.8	83.1
1937	1	6.6	2.5	99.1
1937	2	5.3	0.6	88.1
1937	3	4.7	-0.2	49.8
1937	4	8.7	3.9	29.1
